ano;cnae_2_descricao_secao;variable;salario_medio
2011;"Comércio; reparação de veículos automotores e motocicletas";Demissões;926.8618376136545
2011;Construção;Admissões;713.1972015730053
2011;Construção;Demissões;759.9342265152633
2011;Educação;Admissões;867.9162626262627
2011;Educação;Demissões;1191.100985277463
2011;Indústrias de transformação;Admissões;1344.9243344970544
2011;Indústrias de transformação;Demissões;1430.2335388175889
2011;Indústrias extrativas;Demissões;1112.0
2011;Informação e comunicação;Admissões;993.7402458547741
2011;Informação e comunicação;Demissões;1174.861718696398
2011;Outras atividades de serviços;Admissões;737.9202941176471
2011;Outras atividades de serviços;Demissões;959.2809048067861
2011;Saúde humana e serviços sociais;Admissões;964.2344896957801
2011;Saúde humana e serviços sociais;Demissões;999.7854566473989
2011;Serviços domésticos;Admissões;231.26999999999998
2011;Serviços domésticos;Demissões;868.0
2011;Transporte, armazenagem e correio;Admissões;919.6431000304972
2011;Transporte, armazenagem e correio;Demissões;991.2482100641676
2011;Água, esgoto, atividades de gestão de resíduos e descontaminação;Admissões;989.5552631578947
2011;Água, esgoto, atividades de gestão de resíduos e descontaminação;Demissões;1247.1997093023256
2012;Administração pública, defesa e seguridade social;Admissões;918.7475968222444
2012;Administração pública, defesa e seguridade social;Demissões;768.3800874010553
2012;Agricultura, pecuária, produção florestal, pesca e aquicultura;Admissões;483.51599999999996
2012;Agricultura, pecuária, produção florestal, pesca e aquicultura;Demissões;637.8571428571429
2012;Alojamento e alimentação;Admissões;809.043262402869
2012;Alojamento e alimentação;Demissões;854.9274969021067
2012;Artes, cultura, esporte e recreação;Admissões;748.0825641025641
2012;Artes, cultura, esporte e recreação;Demissões;776.68522875817
2012;Atividades administrativas e serviços complementares;Admissões;834.0577688331498
2012;Atividades administrativas e serviços complementares;Demissões;920.0312433423558
2012;Atividades financeiras, de seguros e serviços relacionados;Admissões;1580.9856348661633
2012;Atividades financeiras, de seguros e serviços relacionados;Demissões;3089.6753238546603
2012;Atividades imobiliárias;Admissões;1062.7101219512194
2012;Atividades imobiliárias;Demissões;1164.31
2012;Atividades profissionais, científicas e técnicas;Admissões;964.0362950373894
2012;Atividades profissionais, científicas e técnicas;Demissões;1167.128572377158
2012;"Comércio; reparação de veículos automotores e motocicletas";Admissões;897.9150625804187
2012;"Comércio; reparação de veículos automotores e motocicletas";Demissões;1034.6974009669686
2012;Construção;Admissões;791.7864463342353
2012;Construção;Demissões;926.3905745433117
2012;Educação;Admissões;851.3089720946663
2012;Educação;Demissões;1106.230058983666
2012;Indústrias de transformação;Admissões;1451.716942926147
2012;Indústrias de transformação;Demissões;1731.0609775659652
2012;Indústrias extrativas;Admissões;883.0369131832797
2012;Indústrias extrativas;Demissões;1270.2121212121212
2012;Informação e comunicação;Admissões;1437.0742401656314
2012;Informação e comunicação;Demissões;1643.8043029533185
2012;Outras atividades de serviços;Admissões;866.6532456140351
2012;Outras atividades de serviços;Demissões;1049.2691630340016
2012;Saúde humana e serviços sociais;Admissões;791.9884432387313
2012;Saúde humana e serviços sociais;Demissões;889.8863252427185
2012;Serviços domésticos;Admissões;182.83333333333334
2012;Serviços domésticos;Demissões;603.9869565217392
2012;Transporte, armazenagem e correio;Admissões;1005.5227311762001
2012;Transporte, armazenagem e correio;Demissões;1115.1189944322591
2012;Água, esgoto, atividades de gestão de resíduos e descontaminação;Admissões;1161.9435294117648
2012;Água, esgoto, atividades de gestão de resíduos e descontaminação;Demissões;1330.867469879518
2013;Administração pública, defesa e seguridade social;Admissões;1058.9843450442065
2013;Administração pública, defesa e seguridade social;Demissões;854.0955171957672
2013;Agricultura, pecuária, produção florestal, pesca e aquicultura;Admissões;1141.7142857142858
2013;Agricultura, pecuária, produção florestal, pesca e aquicultura;Demissões;939.8076923076923
2013;Alojamento e alimentação;Admissões;872.9443191015783
2013;Alojamento e alimentação;Demissões;982.5101782748311
2013;Artes, cultura, esporte e recreação;Admissões;824.886368159204
2013;Artes, cultura, esporte e recreação;Demissões;803.2724736842105
2013;Atividades administrativas e serviços complementares;Admissões;966.8674033240086
2013;Atividades administrativas e serviços complementares;Demissões;941.910523026879
2013;Atividades financeiras, de seguros e serviços relacionados;Admissões;1595.8661167684998
2013;Atividades financeiras, de seguros e serviços relacionados;Demissões;3630.09582010582
2013;Atividades imobiliárias;Admissões;1090.7546226415095
2013;Atividades imobiliárias;Demissões;1171.6480612244898
