ano;tamanho_estabelecimento;descricao_secao_cnae;size
2020;1000 ou mais;Transporte, armazenagem e correio;2
2020;Ate 4;Administração pública, defesa e seguridade social;1
2020;Ate 4;Agricultura, pecuária, produção florestal, pesca e aquicultura;3
2020;Ate 4;Alojamento e alimentação;10
2020;Ate 4;Artes, cultura, esporte e recreação;6
2020;Ate 4;Atividades administrativas e serviços complementares;32
2020;Ate 4;Atividades financeiras, de seguros e serviços relacionados;16
2020;Ate 4;Atividades imobiliárias;5
2020;Ate 4;Atividades profissionais, científicas e técnicas;26
2020;Ate 4;"Comércio; reparação de veículos automotores e motocicletas";148
2020;Ate 4;Construção;29
2020;Ate 4;Educação;16
2020;Ate 4;Indústrias de transformação;87
2020;Ate 4;Indústrias extrativas;1
2020;Ate 4;Informação e comunicação;22
2020;Ate 4;Outras atividades de serviços;22
2020;Ate 4;Saúde humana e serviços sociais;29
2020;Ate 4;Transporte, armazenagem e correio;25
2020;Ate 4;Água, esgoto, atividades de gestão de resíduos e descontaminação;6
2020;De 10 a 19;Alojamento e alimentação;8
2020;De 10 a 19;Artes, cultura, esporte e recreação;3
2020;De 10 a 19;Atividades administrativas e serviços complementares;21
2020;De 10 a 19;Atividades financeiras, de seguros e serviços relacionados;9
2020;De 10 a 19;Atividades imobiliárias;3
2020;De 10 a 19;Atividades profissionais, científicas e técnicas;10
2020;De 10 a 19;"Comércio; reparação de veículos automotores e motocicletas";85
2020;De 10 a 19;Construção;16
2020;De 10 a 19;Educação;8
2020;De 10 a 19;Indústrias de transformação;59
2020;De 10 a 19;Informação e comunicação;10
2020;De 10 a 19;Outras atividades de serviços;11
2020;De 10 a 19;Saúde humana e serviços sociais;14
2020;De 10 a 19;Transporte, armazenagem e correio;13
2020;De 10 a 19;Água, esgoto, atividades de gestão de resíduos e descontaminação;4
2020;De 100 a 249;Administração pública, defesa e seguridade social;2
2020;De 100 a 249;Alojamento e alimentação;3
2020;De 100 a 249;Atividades administrativas e serviços complementares;9
2020;De 100 a 249;Atividades financeiras, de seguros e serviços relacionados;2
2020;De 100 a 249;Atividades profissionais, científicas e técnicas;6
2020;De 100 a 249;"Comércio; reparação de veículos automotores e motocicletas";14
2020;De 100 a 249;Construção;4
2020;De 100 a 249;Educação;3
2020;De 100 a 249;Indústrias de transformação;16
2020;De 100 a 249;Informação e comunicação;3
2020;De 100 a 249;Outras atividades de serviços;3
2020;De 100 a 249;Saúde humana e serviços sociais;1
2020;De 100 a 249;Transporte, armazenagem e correio;4
2020;De 20 a 49;Alojamento e alimentação;6
2020;De 20 a 49;Artes, cultura, esporte e recreação;3
2020;De 20 a 49;Atividades administrativas e serviços complementares;22
2020;De 20 a 49;Atividades financeiras, de seguros e serviços relacionados;4
2020;De 20 a 49;Atividades imobiliárias;1
2020;De 20 a 49;Atividades profissionais, científicas e técnicas;10
2020;De 20 a 49;"Comércio; reparação de veículos automotores e motocicletas";78
2020;De 20 a 49;Construção;15
2020;De 20 a 49;Educação;6
2020;De 20 a 49;Indústrias de transformação;48
2020;De 20 a 49;Informação e comunicação;7
2020;De 20 a 49;Outras atividades de serviços;6
2020;De 20 a 49;Saúde humana e serviços sociais;12
2020;De 20 a 49;Transporte, armazenagem e correio;10
2020;De 20 a 49;Água, esgoto, atividades de gestão de resíduos e descontaminação;3
2020;De 250 a 499;Atividades administrativas e serviços complementares;5
2020;De 250 a 499;Atividades financeiras, de seguros e serviços relacionados;2
2020;De 250 a 499;Atividades profissionais, científicas e técnicas;1
2020;De 250 a 499;"Comércio; reparação de veículos automotores e motocicletas";7
2020;De 250 a 499;Construção;3
2020;De 250 a 499;Educação;1
2020;De 250 a 499;Indústrias de transformação;7
2020;De 250 a 499;Informação e comunicação;1
2020;De 250 a 499;Outras atividades de serviços;1
2020;De 250 a 499;Transporte, armazenagem e correio;2
2020;De 5 a 9;Agricultura, pecuária, produção florestal, pesca e aquicultura;1
2020;De 5 a 9;Alojamento e alimentação;10
2020;De 5 a 9;Artes, cultura, esporte e recreação;4
2020;De 5 a 9;Atividades administrativas e serviços complementares;24
2020;De 5 a 9;Atividades financeiras, de seguros e serviços relacionados;14
2020;De 5 a 9;Atividades imobiliárias;4
2020;De 5 a 9;Atividades profissionais, científicas e técnicas;12
