mes_referencia;nome_municipio;total_repasses;n_favorecidos;media_repasses
2025-03-01;São Bernardo do Campo (SP);49984227.0;39666;630.3419675397556
2025-03-01;São José dos Campos (SP);47236448.0;36329;650.0130452731526
2025-04-01;Osasco (SP);53877998.0;41107;655.4261766602192
2025-04-01;Ribeirão Preto (SP);28864851.0;22103;653.4205093378608
2025-04-01;Santo André (SP);47901876.0;36864;649.8077241341889
2025-04-01;Sorocaba (SP);41135640.0;31075;661.8873996363578
2025-04-01;São Bernardo do Campo (SP);50142857.0;39752;631.2120872619242
2025-04-01;São José dos Campos (SP);47320886.0;36358;650.9062723521321
2025-05-01;Osasco (SP);53589298.0;40942;654.5657505801881
2025-05-01;Ribeirão Preto (SP);28793287.0;22097;652.0809629495425
2025-05-01;Santo André (SP);47768512.0;36805;649.1257117232195
2025-05-01;Sorocaba (SP);40900986.0;30958;660.7270406926966
2025-05-01;São Bernardo do Campo (SP);49885765.0;39625;630.2129312631859
2025-05-01;São José dos Campos (SP);47053708.0;36203;650.0836959975684
2025-06-01;Osasco (SP);50337760.0;38123;660.3232238430055
2025-06-01;Ribeirão Preto (SP);26946361.0;20484;658.2558383818644
2025-06-01;Santo André (SP);44586890.0;34120;653.5271528032247
2025-06-01;Sorocaba (SP);38918804.0;29258;665.290073334587
2025-06-01;São Bernardo do Campo (SP);46265125.0;36527;634.0815333589168
2025-06-01;São José dos Campos (SP);43843380.0;33503;654.5742012541057
2025-07-01;Osasco (SP);22860197.0;34425;664.0387207343286
2025-07-01;Ribeirão Preto (SP);12191413.0;18311;665.760867190913
2025-07-01;Santo André (SP);20627082.0;31422;656.4535039144548
2025-07-01;Sorocaba (SP);18751878.0;27992;669.9013289511289
2025-07-01;São Bernardo do Campo (SP);20731359.0;32346;640.92496753849
2025-07-01;São José dos Campos (SP);20123442.0;30546;658.7913965822039
