ano;mes;cnae_2_descricao_secao;saldo_movimentacao;salario_mensal
2022;6;Atividades Profissionais, Científicas E Técnicas;112;9044377.590000011
2024;6;Atividades Administrativas E Serviços Complementares;50;5098445.96999999
2022;9;Transporte, Armazenagem E Correio;179;3360156.519999995
2012;8;Artes, Cultura, Esporte E Recreação;14;39880.0
2024;2;Outras Atividades De Serviços;39;436726.4
2022;9;Artes, Cultura, Esporte E Recreação;16;112560.75000000001
2022;12;Alojamento E Alimentação;-4;1154613.1300000001
2020;3;Atividades Imobiliárias;-10;67051.48
2022;4;Alojamento E Alimentação;86;1637901.189999998
2021;5;Administração Pública, Defesa E Seguridade Social;-4;19076.85
2022;8;"Comércio; Reparação De Veículos Automotores E Motocicletas";-87;7129262.359999992
2021;2;Atividades Imobiliárias;4;67214.73000000001
2022;6;Administração Pública, Defesa E Seguridade Social;-9;24537.440000000002
2012;2;Artes, Cultura, Esporte E Recreação;-15;40788.02
2024;5;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1;104801.14000000001
2022;9;Atividades Profissionais, Científicas E Técnicas;200;9555736.400000023
2022;8;Educação;143;12458439.739999998
2014;12;Construção;-77;653257.5499999999
2014;1;Outras Atividades De Serviços;-9;218608.07
2020;8;Atividades Financeiras, De Seguros E Serviços Relacionados;-40;418188.2799999997
2022;4;Artes, Cultura, Esporte E Recreação;-3;105271.03
2020;9;Administração Pública, Defesa E Seguridade Social;-7;17589.399999999998
2010;9;"Comércio; Reparação De Veículos Automotores E Motocicletas";299;3069377.34
2024;12;"Comércio; Reparação De Veículos Automotores E Motocicletas";-447;8667958.849999996
2023;1;Informação E Comunicação;-10;1308668.7500000005
2021;10;Alojamento E Alimentação;133;924635.7600000004
2021;11;Alojamento E Alimentação;51;882331.6799999995
2014;12;Transporte, Armazenagem E Correio;-167;1144987.97
2014;12;Indústrias De Transformação;-319;1548981.69
2024;1;Atividades Imobiliárias;16;79117.43
2020;7;Transporte, Armazenagem E Correio;151;1706752.060000001
2020;9;Atividades Imobiliárias;3;63526.229999999996
2021;11;Educação;22;5242635.059999998
2020;3;Indústrias De Transformação;-182;3943892.279999999
2022;4;Construção;-165;2366728.5099999825
2022;3;Saúde Humana E Serviços Sociais;-6;860855.0100000005
2022;12;Informação E Comunicação;-13;1142538.4000000008
2020;1;Atividades Profissionais, Científicas E Técnicas;99;2617554.4899999998
2014;8;Educação;159;783013.0
2022;2;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1;6270.42
2022;3;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;4;10693.65
2024;11;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-2;4295.610000000001
2022;1;Informação E Comunicação;6;1190060.029999999
2010;8;Transporte, Armazenagem E Correio;157;974694.18
2020;5;Saúde Humana E Serviços Sociais;-67;384216.69000000006
2021;3;Indústrias De Transformação;75;1725137.2599999981
2014;12;Atividades Financeiras, De Seguros E Serviços Relacionados;3;416477.0
2024;1;Alojamento E Alimentação;72;1611751.210000001
2021;11;Saúde Humana E Serviços Sociais;-26;552551.5899999992
2020;1;Construção;122;1478700.1399999976
2011;3;Transporte, Armazenagem E Correio;19;997258.46
2020;1;Atividades Administrativas E Serviços Complementares;-81;2478075.6300000018
2014;2;Atividades Financeiras, De Seguros E Serviços Relacionados;-77;781584.37
2022;3;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;20;97251.83000000003
2020;3;Administração Pública, Defesa E Seguridade Social;-45;82993.49999999997
2020;1;Saúde Humana E Serviços Sociais;49;391513.46000000014
2024;1;Informação E Comunicação;51;1377489.6299999997
2021;3;Alojamento E Alimentação;-123;628279.3299999996
2020;9;Alojamento E Alimentação;13;501791.5499999999
2024;11;Atividades Imobiliárias;-4;68399.01000000001
2022;9;Educação;53;4162474.1800000034
2021;1;Indústrias De Transformação;69;2054975.7400000049
2021;6;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-6;99314.19
2021;11;Atividades Imobiliárias;0;69002.04999999999
2014;8;Atividades Profissionais, Científicas E Técnicas;26;336096.54
2022;5;Transporte, Armazenagem E Correio;-136;3775874.2499999967
2020;10;Atividades Profissionais, Científicas E Técnicas;84;2446622.16
2020;4;Educação;-96;210488.14000000004
2014;8;Alojamento E Alimentação;26;755820.5
2012;8;Outras Atividades De Serviços;14;228027.7
2024;5;Administração Pública, Defesa E Seguridade Social;-3;11936.279999999999
2020;10;Indústrias De Transformação;96;2008669.1499999992
2021;6;Alojamento E Alimentação;114;925989.0599999994
2020;4;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1;53847.770000000004
2014;2;Construção;158;1160507.7
2020;8;Construção;-93;1835845.5499999877
2024;12;Indústrias De Transformação;-111;2327861.7199999993
2024;12;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-26;112016.95999999999
2021;6;Informação E Comunicação;12;1104883.9700000002
2020;3;"Comércio; Reparação De Veículos Automotores E Motocicletas";-488;6511552.789999988
2020;5;Atividades Financeiras, De Seguros E Serviços Relacionados;-33;227081.5200000001
2020;9;Atividades Profissionais, Científicas E Técnicas;153;3102055.9400000004
2020;12;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;2;84279.93
2021;10;Informação E Comunicação;70;1506532.829999999
2011;3;Atividades Financeiras, De Seguros E Serviços Relacionados;-5;776723.0
2024;2;Informação E Comunicação;67;1195827.7599999998
2020;7;Atividades Imobiliárias;-7;59010.62
2022;12;"Comércio; Reparação De Veículos Automotores E Motocicletas";-330;6384156.379999999
2021;9;Outras Atividades De Serviços;17;541534.21
2022;2;Atividades Profissionais, Científicas E Técnicas;372;8530637.60000002
2021;1;Indústrias Extrativas;1;1439.0
2022;12;Administração Pública, Defesa E Seguridade Social;16;88229.93000000001
2022;10;Outras Atividades De Serviços;-11;329175.80000000005
2022;6;Indústrias De Transformação;61;2242684.9899999998
2021;6;"Comércio; Reparação De Veículos Automotores E Motocicletas";426;6204173.0
2021;4;Atividades Financeiras, De Seguros E Serviços Relacionados;3;225347.23
2020;1;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-7;59981.89
2020;5;Artes, Cultura, Esporte E Recreação;-42;85957.06999999996
2020;8;Atividades Imobiliárias;-2;70929.45
2021;2;Outras Atividades De Serviços;5;135182.34000000003
2021;3;Saúde Humana E Serviços Sociais;108;683110.6299999998
2021;9;Construção;168;2398824.47999999
2021;11;"Comércio; Reparação De Veículos Automotores E Motocicletas";637;6414679.610000011
2021;11;Informação E Comunicação;97;1942627.9999999977
2021;2;Construção;235;1826893.459999988
2020;9;Construção;-91;2395607.489999998
2024;5;Transporte, Armazenagem E Correio;326;7376162.890000012
2024;5;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;3;11982.16
2021;5;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;3;58611.85
2022;1;Construção;133;2282572.8199999947
2020;4;Administração Pública, Defesa E Seguridade Social;-14;18959.980000000003
2012;2;Atividades Administrativas E Serviços Complementares;111;1996653.41
2020;5;Administração Pública, Defesa E Seguridade Social;-96;195542.51999999984
2024;12;Transporte, Armazenagem E Correio;824;8200472.75
2022;1;Atividades Financeiras, De Seguros E Serviços Relacionados;-3;405794.73999999993
2021;3;Informação E Comunicação;95;1025534.1399999995
2022;4;Atividades Financeiras, De Seguros E Serviços Relacionados;-3;348168.2999999998
2020;9;Educação;-35;363718.2100000001
2023;1;Transporte, Armazenagem E Correio;195;3285793.159999999
2014;1;Atividades Financeiras, De Seguros E Serviços Relacionados;-4;650618.3
2024;2;Construção;389;3449789.130000014
2010;9;Educação;36;199397.0
2012;8;Administração Pública, Defesa E Seguridade Social;-202;445515.55
2022;3;Educação;139;5537655.1699999925
2020;1;Atividades Imobiliárias;4;58385.31000000001
2020;5;Alojamento E Alimentação;-197;420928.3200000006
2020;8;Outras Atividades De Serviços;0;67304.14
2021;5;Alojamento E Alimentação;82;656947.9099999991
2021;6;Construção;252;2058560.139999995
2020;3;Atividades Financeiras, De Seguros E Serviços Relacionados;-63;1679722.8700000003
2020;3;Informação E Comunicação;-42;938399.5999999992
2011;3;Educação;115;308785.49
2021;2;Indústrias De Transformação;176;53492459.72000003
2023;1;Artes, Cultura, Esporte E Recreação;20;125310.25999999998
2024;6;Atividades Financeiras, De Seguros E Serviços Relacionados;169;4260939.920000001
2020;8;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-9;47298.44
