ano;cnae_2_descricao_secao;saldo_movimentacao;salario_mensal
2025;Saúde Humana E Serviços Sociais;631;12604623.830000116
2011;Transporte, Armazenagem E Correio;636;11901191.350000001
2023;Informação E Comunicação;645;22728480.189999968
2023;Saúde Humana E Serviços Sociais;653;11672869.669999992
2022;Alojamento E Alimentação;663;14970873.079999935
2013;Construção;670;12500119.759999992
2024;Atividades Profissionais, Científicas E Técnicas;679;59139202.13999981
2021;Saúde Humana E Serviços Sociais;686;8680001.46999998
2011;Atividades Financeiras, De Seguros E Serviços Relacionados;704;5872359.64
2009;Construção;743;6637585.500000007
2024;Informação E Comunicação;750;20222566.300000105
2018;Atividades Financeiras, De Seguros E Serviços Relacionados;750;11339440.21
2023;Construção;763;25195733.619999893
2017;Atividades Profissionais, Científicas E Técnicas;776;9679712.709999999
2008;Construção;787;5132327.039999995
2007;Alojamento E Alimentação;808;5893501.0
2021;Indústrias De Transformação;811;76318718.41999997
2009;Atividades Administrativas E Serviços Complementares;812;15711410.759999998
2007;Transporte, Armazenagem E Correio;813;7283523.0
2025;"Comércio; Reparação De Veículos Automotores E Motocicletas";837;87662256.65999815
2013;Alojamento E Alimentação;853;17501231.070000004
2021;Informação E Comunicação;878;14811724.299999997
2008;Alojamento E Alimentação;884;7909594.3100000005
2014;Informação E Comunicação;896;13040642.290000001
2009;Administração Pública, Defesa E Seguridade Social;900;9804255.079999955
2007;Indústrias De Transformação;917;14463972.0
2010;Informação E Comunicação;925;6447224.0
2016;Saúde Humana E Serviços Sociais;928;5055122.31
2024;Construção;943;41569667.35999961
2019;Atividades Administrativas E Serviços Complementares;972;39292825.749999985
2012;Construção;973;12433393.829999972
2018;"Comércio; Reparação De Veículos Automotores E Motocicletas";975;58311982.9
2010;Transporte, Armazenagem E Correio;979;10014536.53
2022;Saúde Humana E Serviços Sociais;993;12966703.869999971
2010;Alojamento E Alimentação;1002;10067719.68
2025;Atividades Profissionais, Científicas E Técnicas;1010;41719215.170000024
2012;"Comércio; Reparação De Veículos Automotores E Motocicletas";1034;48495834.73999997
2013;Administração Pública, Defesa E Seguridade Social;1036;15559991.540000001
2020;Atividades Profissionais, Científicas E Técnicas;1078;27177601.98000003
2010;Construção;1098;8478851.29
2011;Construção;1102;10775247.529999977
2015;Construção;1155;13806110.929999908
2008;Transporte, Armazenagem E Correio;1178;7613682.800000003
2024;Atividades Financeiras, De Seguros E Serviços Relacionados;1204;55065948.0699999
2014;"Comércio; Reparação De Veículos Automotores E Motocicletas";1381;65136061.560000025
2014;Atividades Administrativas E Serviços Complementares;1393;27099746.169999976
2013;"Comércio; Reparação De Veículos Automotores E Motocicletas";1563;48306417.48
2022;Transporte, Armazenagem E Correio;1597;40155180.55999997
2011;"Comércio; Reparação De Veículos Automotores E Motocicletas";1700;45154982.93999997
2018;Construção;1805;12797855.189999998
2021;Construção;1808;27464794.670000315
2010;Indústrias De Transformação;1862;21248043.25
2010;Atividades Administrativas E Serviços Complementares;1887;16407422.670000007
2022;Atividades Profissionais, Científicas E Técnicas;1969;103354787.19999975
2010;Administração Pública, Defesa E Seguridade Social;1982;9264863.68
2007;"Comércio; Reparação De Veículos Automotores E Motocicletas";2102;18280599.0
2011;Atividades Administrativas E Serviços Complementares;2177;19310505.130000003
2008;"Comércio; Reparação De Veículos Automotores E Motocicletas";2368;24269645.960000005
2007;;2397;1180412.9500000337
2021;Atividades Profissionais, Científicas E Técnicas;2778;70515058.34999993
2020;Atividades Administrativas E Serviços Complementares;2861;43940718.870002456
2021;"Comércio; Reparação De Veículos Automotores E Motocicletas";3343;70041717.98999995
2009;"Comércio; Reparação De Veículos Automotores E Motocicletas";3354;28108976.339999996
2022;Atividades Administrativas E Serviços Complementares;3512;118450934.28999151
2007;Administração Pública, Defesa E Seguridade Social;3824;6921009.0
2010;"Comércio; Reparação De Veículos Automotores E Motocicletas";4293;35408526.550000004
2023;Transporte, Armazenagem E Correio;4703;41692248.970000066
2021;Transporte, Armazenagem E Correio;6898;46984609.89999984
2021;Atividades Administrativas E Serviços Complementares;8576;92500131.65000421
2024;Transporte, Armazenagem E Correio;8746;93511359.16999894
2025;Transporte, Armazenagem E Correio;9707;94118978.74999993
