tipo_unidade;nome_unidade;latitude;longitude;cpf_aluno
ESCPARC;MADALENA SINDONA - INOVACAO SOCIAL (JD. VELOSO);-23.567518525118423;-46.80452466281551;1354
ESCPARC;TEODORA SALGUEIRO DE ALMEIDA - INOVACAO SOCIAL (PORTAL D'OESTE);-23.49198754771149;-46.793701921933874;1347
ESCPARC;CRESCENDO CIDADA I - ACUCARA;-23.48140082080788;-46.79364784603416;1338
CEMEI;JONIAS MARTINS DOS SANTOS DE JESUS;-23.555431376126773;-46.79003750434089;1330
ESCPARC;CIRANDA DO SABER - SOLUCAO SOCIAL (JD. CONCEICAO);-23.574247265973653;-46.80153448346336;1323
ESCPARC;SEMENTES DO BEM - SOLUCAO SOCIAL (AYROSA);-23.514616;-46.76202;1319
ESCPARC;COMECANDO A APRENDER - AMDC ;-23.49426458360324;-46.790402485690144;1315
CEMEI;ESCOLA PARQUE DO KM 18;-23.530041;-46.801393;1302
ESCPARC;JOAO PEDRO BRITO GONCALVES - MUNDO DA CRIANCA;-23.568690741558864;-46.80859171534262;1268
ESCPARC;OSORIO LORIA - MUNDO DA CRIANCA ;-23.586330765809656;-46.81476507116434;1268
CRECHE;INES SANCHES MENDES;-23.564902;-46.813946;1244
ESCPARC;CENTRO POPULAR DO JARDIM VELOSO;-23.56230486209535;-46.807575144178976;1239
ESCPARC;JOSE MONTEIRO NETO - INOVACAO SOCIAL (SANTA MARIA);-23.58510778953619;-46.81287656240747;1229
ESCPARC;CASA DO APRENDER - AMDC ;-23.49723398693605;-46.80759583357752;1180
ESCPARC;HELENA MARIA - AMDC ;-23.497555;-46.800956;1176
ESCPARC;ESPACO MAGICO - SOLUCAO SOCIAL (SANTA MARIA);-23.58262617679402;-46.812708766268926;1148
ESCPARC;SEBASTIAO VITORINO PEREIRA - MUNDO DA CRIANCA;-23.49934359016234;-46.77306265767131;1123
CEMEI;CRISTINE APARECIDA DE OLIVEIRA BRAGA;-23.567369;-46.777351;1098
CEMEI;LUZIA MOMI SASSO;-23.551976;-46.762123;1090
ESCPARC;FERNANDA ALVES PADRIN - INOVACAO SOCIAL (BONANCA);-23.487431099791326;-46.7914955047396;983
CRECHE;ROSA PEREIRA CRE;-23.552064766564687;-46.76012430473897;936
ESCPARC;ESTRELA DO SABER - SOLUCAO SOCIAL (JD. NOVO OSASCO);-23.57388446615756;-46.79522427976136;854
ESCPARC;TARSILA DO AMARAL - AMDC ;-23.491310710068834;-46.80605002293623;839
CRECHE;JOSE MARQUES REZENDE, DR.;-23.543872;-46.785906;813
ESCPARC;LUIZA TOLEDO PADRIN - INOVACAO SOCIAL (INDUSTRIAL ANHANGUERA);-23.490140026270105;-46.776367279760514;773
ESCPARC;CRESCENDO CIDADA II - VILA MENK;-23.500354;-46.765768;699
CRECHE;MARIA FIGUEIREDO ANTIORIO;-23.562606;-46.76633;148
