cod_familiar_fam;n_pessoas_fam;qtd_pessoas_domic_fam
1298077613;5;4.0
1096669170;5;3.0
1096669927;6;3.0
1096671158;8;4.0
1096675498;5;3.0
1096675650;5;4.0
1340579456;5;4.0
1340581434;6;3.0
1340581787;5;4.0
1340582406;5;2.0
1340582759;6;3.0
1096679990;5;3.0
1096680068;9;2.0
1096682516;6;2.0
1096685965;2;1.0
1096687151;9;2.0
1096689448;7;5.0
1096694107;12;3.0
1096695502;10;5.0
1096695685;6;6.0
1096697467;5;3.0
1096699249;13;3.0
1096699915;3;1.0
1096700352;7;3.0
1096700867;6;3.0
1096701910;6;3.0
1096702053;7;9.0
1096702134;1;1.0
1096704692;7;2.0
1096705230;3;1.0
1096706474;5;5.0
1096711206;11;9.0
1110893795;8;1.0
1187738603;5;3.0
1187738794;8;4.0
1187739170;11;6.0
1187753670;10;3.0
1187754056;4;2.0
1187758124;8;3.0
1187759368;5;3.0
1187760455;6;3.0
1187764604;4;2.0
1187770680;15;5.0
1187773433;11;6.0
1406777633;6;7.0
1406778010;5;2.0
1406778362;4;4.0
1406778524;2;2.0
1406779504;5;5.0
1406779768;5;4.0
1406779920;8;4.0
1406780340;7;4.0
1406781150;3;1.0
1406781401;6;1.0
1406782718;7;4.0
1406784761;6;5.0
1406785148;6;3.0
1406785490;4;4.0
1406786110;6;3.0
1406786543;12;3.0
1406787000;4;3.0
1406787515;4;2.0
1406788830;4;3.0
1406789054;3;4.0
1406789305;4;4.0
1406789801;8;5.0
1406789992;5;2.0
1406790141;6;1.0
1406790222;8;4.0
1406790303;6;3.0
1406791970;4;3.0
1187777420;10;6.0
1187780642;6;4.0
1187782939;4;2.0
1187783900;4;2.0
1187789194;4;1.0
1187790796;7;2.0
1187792578;5;3.0
1187797294;8;2.0
1187801151;4;2.0
1407861042;7;5.0
1407861808;5;5.0
1407862367;8;5.0
1412361400;2;2.0
1412361753;4;3.0
1187830682;11;1.0
1187830925;4;1.0
1189508001;4;2.0
1196764000;4;3.0
1201458633;6;6.0
1203336357;6;2.0
1206804408;4;3.0
1208803859;4;3.0
1213055032;3;2.0
1216181101;6;2.0
1216181616;3;3.0
1216182698;4;6.0
1216185280;3;2.0
1217809619;2;1.0
1223830012;5;2.0
1236023862;12;5.0
1240864620;5;4.0
1240877790;5;3.0
1255788143;3;2.0
1260801004;4;5.0
1261893239;2;2.0
1262246504;4;4.0
1263927068;4;3.0
1264292198;3;2.0
1267847794;6;1.0
1267847875;5;3.0
1267848090;7;6.0
1270464370;8;3.0
1270466232;5;2.0
1270466909;5;4.0
1270467557;10;7.0
1270468952;7;6.0
1270470850;6;1.0
1270471317;5;4.0
1270471589;6;5.0
1270471821;7;4.0
1270472046;3;2.0
1270472801;6;5.0
1270473107;5;2.0
