desc_cod_agua_canalizada_fam;cod_familiar_fam
Sim;1507188102
Sim;1510931058
Sim;1516490223
Sim;1517448581
Sim;1520074077
Sim;1523209119
Sim;1530227526
Sim;1530228760
Sim;1530228840
Sim;1530229731
Sim;1530229812
Sim;1530230152
Sim;1530230900
Sim;1524513156
Sim;1528189523
Sim;1530195730
Sim;1530196540
Sim;1530196620
Sim;1530197350
Sim;1530197511
Sim;1530198160
Sim;1530198755
Sim;1530199050
Sim;1530199727
Sim;1530200245
Sim;1530201136
Sim;1530202965
Sim;1530203694
Sim;1530204313
Sim;1530205204
Sim;1530205638
Sim;1530206952
Sim;1530207509
Sim;1530208068
Sim;1530208491
Sim;1530209200
Sim;1530209382
Sim;1530209463
Sim;1530209897
Sim;1530210399
Sim;1530211603
Sim;1530213142
Sim;1530213223
Sim;1530214386
Sim;1530214629
Sim;1530215510
Sim;1530216320
Sim;1530216753
Sim;1530216915
Sim;1530217130
Sim;1530219000
Sim;1530220513
Sim;1530220866
Sim;1530221242
Sim;1530221323
Sim;1530221595
Sim;1530221757
Sim;1530222052
Sim;1530222486
Sim;1530222567
Sim;1530223881
Sim;1530224268
Sim;1530231809
Sim;1530233097
Sim;1530233330
Sim;1530234654
Sim;1530235545
Sim;1530236606
Sim;1530236940
Sim;1530238560
Sim;1530240468
Sim;1530241430
Sim;1530241863
Sim;1530276225
Sim;1530276306
Sim;1530278007
Sim;1530278350
Sim;1530279755
Sim;1530280508
Sim;1530282381
Sim;1530282705
Sim;1530282896
Sim;1530283000
Sim;1530243645
Sim;1530244455
Sim;1530244536
Sim;1530244617
Sim;1530245931
Sim;1530246407
Sim;1530246580
Sim;1530248523
Sim;1530249503
Sim;1530252717
Sim;1530253527
Sim;1530254256
Sim;1530255651
Sim;1530257271
Sim;1530259134
Sim;1530260060
Sim;1530261031
Sim;1530262356
Sim;1530262607
Sim;1530263085
Sim;1530263247
Sim;1530264308
Sim;1530264561
Sim;1530264804
Sim;1530268478
Sim;1530271185
Sim;1530272742
Sim;1530272904
Sim;1530273714
Sim;1530275091
Sim;1530275415
Sim;1530275687
Sim;1530284082
Sim;1530284678
Sim;1530284910
Sim;1530287855
Sim;1530288070
Sim;1530288231
Sim;1530288312
Sim;1530289394
Sim;1530289807
Sim;1530290805
Sim;1530291020
Sim;1530291615
Sim;1530291704
Sim;1530294630
Sim;1530295106
Sim;1530295955
Sim;1530296927
Sim;1530297060
Sim;1530299780
Sim;1530300037
Sim;1530300118
Sim;1530300541
Sim;1530301190
Sim;1530302757
Sim;1530303052
Sim;1530303800
Sim;1530303990
Sim;1530304458
Sim;1530304539
Sim;1530338352
Sim;1530339596
Sim;1530305772
Sim;1530306310
Sim;1530307805
Sim;1530308879
Sim;1530310008
Sim;1530311314
Sim;1530311586
Sim;1530312710
Sim;1530314925
Sim;1530317193
Sim;1530317517
Sim;1530318084
Sim;1530318599
Sim;1530318750
Sim;1530318831
Sim;1530319137
Sim;1530320658
Sim;1530320810
Sim;1530321468
Sim;1530321700
Sim;1530322006
Sim;1530322782
Sim;1530322944
Sim;1530324726
Sim;1530324998
Sim;1530325455
Sim;1530327660
Sim;1530328802
Sim;1530329442
Sim;1530331340
Sim;1530332400
Sim;1530332826
Sim;1530333636
Sim;1530340411
Sim;1530340764
Sim;1530341302
Sim;1530341493
Não;1530342546
Sim;1530342899
Sim;1530343356
Sim;1530343437
Sim;1530343607
Sim;1530344085
Sim;1530344166
Sim;1530345561
Sim;1530345995
Sim;1530346100
Sim;1530346371
Sim;1530346452
Sim;1530347505
Sim;1530347777
Sim;1530348072
Sim;1530348153
Sim;1530348900
Sim;1530349125
Sim;1530349206
Sim;1530352266
Sim;1530352428
Sim;1530353319
Sim;1530353661
Sim;1530354390
Sim;1530355281
Sim;1530358035
Sim;1530358116
Sim;1530358388
Sim;1530358892
Sim;1530359198
Sim;1530359430
Sim;1530360013
Sim;1530360447
Sim;1530361257
Sim;1530362571
Sim;1530363977
Sim;1530365082
Sim;1530365163
Sim;1530365244
Sim;1530365597
Sim;1530366305
Sim;1530366569
Sim;1530366992
Sim;1530367379
Sim;1530368189
Sim;1530370086
Sim;1530404916
Sim;1530405564
Sim;1530408156
Sim;1530408237
Não;1530370248
Sim;1530371562
Sim;1530371643
Sim;1530372704
Sim;1530372887
Sim;1530372968
Sim;1530373506
Sim;1530374073
Sim;1530374405
Sim;1530374669
Sim;1530375126
Sim;1530377501
Sim;1530378575
Sim;1530378656
Sim;1530379466
Sim;1530379628
Sim;1530380987
Sim;1530381010
Sim;1530383226
Sim;1530383900
Sim;1530384206
Sim;1530385512
Sim;1530386675
Sim;1530387213
Sim;1530387566
Sim;1530389186
Sim;1530389771
Sim;1530390435
Sim;1530390940
Sim;1530391407
Sim;1530392217
Sim;1530392489
Sim;1530392721
Sim;1530392802
Sim;1530393027
Sim;1530395666
Sim;1530395747
Sim;1530395909
Sim;1530396395
Sim;1530398924
Sim;1530403359
Sim;1530408822
Sim;1530410991
Sim;1530411025
Sim;1530411882
Sim;1538144034
Sim;1540318443
Sim;1541151186
Sim;1541151348
Sim;1542670314
Sim;1542672104
Sim;1542672287
Sim;1542674069
Sim;1542674220
Sim;1542676436
Sim;1542676789
Sim;1544013310
Sim;1544417403
Sim;1546859500
Sim;1548208140
Sim;1552886956
Sim;1552887332
Sim;1554458200
Sim;1554491924
Sim;1557099090
Sim;1557327815
Sim;1559418796
Sim;1560197447
Sim;1560197528
Sim;1561767859
Sim;1561848182
Sim;1563752735
Sim;1563753200
Sim;1563753464
Sim;1563753626
Sim;1563754789
Sim;1563755670
Sim;1563755750
Sim;1563755831
