ano;municipio_codigo;municipio;pib_deflacionado_osasco;ipca_normalizado;pib_deflacionado_sp;participacao_pib_sp
2007;3548708;São Bernardo do Campo (SP);70245306.94955076;0.44630386514668785;2096448749.5363197;0.03350680858050416
2008;3548708;São Bernardo do Campo (SP);76939841.46764587;0.4726357931903424;2205736812.61621;0.03488169623300979
2009;3548708;São Bernardo do Campo (SP);70489838.04396951;0.4930063958768461;2286164713.939229;0.03083322807590288
2010;3548708;São Bernardo do Campo (SP);81505307.89255954;0.5221430738731677;2479580890.341353;0.03287059849914357
2011;3548708;São Bernardo do Campo (SP);83603421.36501077;0.5560823736749235;2583560956.096506;0.0323597634372548
2012;3548708;São Bernardo do Campo (SP);76968847.58365251;0.5885575842975391;2648905537.188434;0.029056848763790857
2013;3548708;São Bernardo do Campo (SP);78270613.647036;0.6233413375295236;2751684051.3064165;0.028444622343134007
2014;3548708;São Bernardo do Campo (SP);71560294.98754273;0.6632975172651661;2801451847.221599;0.0255440032133746
2015;3548708;São Bernardo do Campo (SP);57233910.97165145;0.7340713623573594;2642661199.5464554;0.021657680137534913
2016;3548708;São Bernardo do Campo (SP);55396522.13079343;0.7802444510496372;2612972612.9513984;0.02120057510599856
2017;3548708;São Bernardo do Campo (SP);55315897.77320852;0.8032616623556016;2640187792.3325377;0.020951501228001043
2018;3548708;São Bernardo do Campo (SP);60673007.32362869;0.8333839746939367;2652513146.5502887;0.02287378194620322
2019;3548708;São Bernardo do Campo (SP);58680926.3601444;0.8693028240032452;2701403855.08656;0.021722381956941463
2020;3548708;São Bernardo do Campo (SP);53473845.151;0.9085953116481919;2616829461.388;0.0204345930600448
2021;3548708;São Bernardo do Campo (SP);58277014.0;1.0;2719751231.0;0.02142733252061905
2002;3549904;São José dos Campos (SP);40016134.06914355;0.3332630527715898;1556964718.0650015;0.025701374992540403
2003;3549904;São José dos Campos (SP);43570998.11057366;0.36425651667934766;1623729445.9186096;0.0268339027909442
2004;3549904;São José dos Campos (SP);47644048.65744143;0.3919400119469781;1665957896.8639014;0.02859859108512252
2005;3549904;São José dos Campos (SP);44567457.67371819;0.4142413986267611;1793743808.473124;0.024846055196508267
2006;3549904;São José dos Campos (SP);44330740.81735147;0.42724857854364146;1929858495.5169797;0.022970979955437582
2007;3549904;São José dos Campos (SP);48982891.942499325;0.44630386514668785;2096448749.5363197;0.02336469801769925
2008;3549904;São José dos Campos (SP);52650132.21285687;0.4726357931903424;2205736812.61621;0.023869634813959918
2009;3549904;São José dos Campos (SP);49829459.02011521;0.4930063958768461;2286164713.939229;0.021796093132001593
2010;3549904;São José dos Campos (SP);49503921.99644248;0.5221430738731677;2479580890.341353;0.019964632809227487
2011;3549904;São José dos Campos (SP);45890215.5652893;0.5560823736749235;2583560956.096506;0.017762389332057673
2012;3549904;São José dos Campos (SP);45169325.32902398;0.5885575842975391;2648905537.188434;0.017052071013814635
2013;3549904;São José dos Campos (SP);45384604.38404678;0.6233413375295236;2751684051.3064165;0.01649339224192528
2014;3549904;São José dos Campos (SP);45746693.165850535;0.6632975172651661;2801451847.221599;0.016329637509643728
2015;3549904;São José dos Campos (SP);46166658.63543375;0.7340713623573594;2642661199.5464554;0.017469760650119306
2016;3549904;São José dos Campos (SP);53355384.897638425;0.7802444510496372;2612972612.9513984;0.020419419871903127
2017;3549904;São José dos Campos (SP);49045568.64380678;0.8032616623556016;2640187792.3325377;0.018576545496589957
2018;3549904;São José dos Campos (SP);47630883.48870407;0.8333839746939367;2652513146.5502887;0.017956888753086916
2019;3549904;São José dos Campos (SP);50111743.3386336;0.8693028240032452;2701403855.08656;0.01855025980076122
2020;3549904;São José dos Campos (SP);43323720.1374;0.9085953116481919;2616829461.388;0.016555805709410096
2021;3549904;São José dos Campos (SP);45208808.0;1.0;2719751231.0;0.01662240556588611
2002;3547809;Santo André (SP);25548628.7159338;0.3332630527715898;1556964718.0650015;0.01640925347857958
2003;3547809;Santo André (SP);27653789.40047146;0.36425651667934766;1623729445.9186096;0.017031032768409636
2004;3547809;Santo André (SP);29012608.188465085;0.3919400119469781;1665957896.8639014;0.017414970836345956
2005;3547809;Santo André (SP);28813129.34817068;0.4142413986267611;1793743808.473124;0.016063124071601438
2006;3547809;Santo André (SP);29685989.929407008;0.42724857854364146;1929858495.5169797;0.015382469750174394
2007;3547809;Santo André (SP);31437204.773901172;0.44630386514668785;2096448749.5363197;0.014995455901726322
2008;3547809;Santo André (SP);31417986.563746825;0.4726357931903424;2205736812.61621;0.014243760354383421
