cod_familiar_fam;qtd_comodos_domic_fam
1427475644;4.0
1427480729;4.0
1427480990;4.0
1427481539;3.0
1427481962;3.0
1427483663;4.0
1427483825;4.0
1427484040;5.0
1427484805;3.0
1427485100;1.0
1427487146;5.0
1427487227;4.0
1427488207;2.0
1427488622;3.0
1427491500;4.0
1427491763;4.0
1427493707;4.0
1427493979;4.0
1427494002;3.0
1427494940;3.0
1427495408;3.0
1427496137;4.0
1430337354;5.0
1431898759;3.0
1431900168;5.0
1431900320;3.0
1431900591;4.0
1431901725;5.0
1431901806;2.0
1431901997;2.0
1431902888;5.0
1431903183;5.0
1431904155;3.0
1431904236;7.0
1431904589;3.0
1431905399;4.0
1431906280;4.0
1431907090;5.0
1431907251;2.0
1431908142;4.0
1431908495;3.0
1431909203;4.0
1431909386;5.0
1431909971;3.0
1431910473;3.0
1431910635;4.0
1431913308;3.0
1431913901;4.0
1432890808;4.0
1434897397;3.0
1434898873;3.0
1434899926;5.0
1434902650;3.0
1434903702;3.0
1434905756;3.0
1434905837;3.0
1434905918;4.0
1434906647;5.0
1434907295;2.0
1434908003;3.0
1434910679;4.0
1434910830;3.0
1434911560;4.0
1448864640;5.0
1448866502;4.0
1448870100;5.0
1437915590;3.0
1437916562;3.0
1437918344;4.0
1437920080;5.0
1437920241;5.0
1437921302;3.0
1437921990;3.0
1437922961;2.0
1437924077;3.0
1437924905;5.0
1437926363;5.0
1439907722;2.0
1440376700;6.0
1442648031;4.0
1442648465;4.0
1442648546;5.0
1442648899;5.0
1442649518;3.0
1442649860;3.0
1442651091;1.0
1442652497;4.0
1442653540;4.0
1442655402;5.0
1442655674;4.0
1442655917;3.0
1442656131;3.0
1442657103;3.0
1444019244;3.0
1448857007;3.0
1448861543;5.0
1448871425;2.0
1448872316;3.0
1448872740;3.0
1448873045;3.0
1448874360;5.0
1448875099;4.0
1448875170;3.0
1448876818;2.0
1448877628;5.0
1448877709;4.0
1448878195;3.0
1448879400;2.0
1448880416;4.0
1448880505;4.0
1448881579;3.0
1448882036;3.0
1448882206;4.0
1448882621;5.0
1450505210;4.0
1455588784;7.0
1458841804;5.0
1458842100;3.0
1458843092;5.0
1458844064;4.0
1458846008;4.0
1458846270;3.0
1458846512;3.0
1458847403;4.0
1458847675;3.0
1458847756;5.0
1458848485;4.0
1458850030;5.0
1458850200;4.0
1458850625;4.0
1458852245;3.0
1458852830;3.0
1458854450;5.0
1458855422;5.0
1458855503;5.0
1458855694;4.0
1458856070;3.0
1458858286;4.0
1458858529;6.0
1458860779;4.0
1458860930;5.0
1458861074;4.0
1458861236;5.0
1458861821;4.0
1458861902;4.0
1458862801;3.0
1458862984;3.0
1458863522;5.0
1458864170;5.0
1458864332;3.0
1458864413;3.0
1458864847;5.0
1458866033;5.0
1458866971;5.0
1460794184;3.0
1461666554;3.0
1461666805;3.0
1461667607;5.0
1461667879;3.0
1461669308;2.0
1461670152;2.0
1461671205;5.0
1466697709;3.0
1466698519;7.0
1470749599;3.0
1473369533;2.0
1473370540;4.0
1473371600;5.0
1473372089;3.0
1473372160;5.0
1473373301;3.0
1473374456;4.0
1473375347;4.0
1473375690;2.0
1473376157;3.0
1473376661;4.0
1473377200;4.0
1473377633;3.0
1473377803;5.0
1473378524;3.0
1473378605;4.0
1473379172;5.0
1473379334;4.0
1473379504;3.0
1474144233;4.0
1475414099;4.0
1477075283;4.0
1477075607;3.0
1479387169;5.0
1479387592;4.0
1498404979;4.0
1500160776;3.0
1500178128;3.0
1500193194;3.0
1502661977;3.0
1503665585;3.0
1507188102;3.0
1510931058;4.0
1516490223;5.0
1517448581;3.0
1520074077;4.0
1523209119;2.0
1530227526;6.0
1530228760;5.0
1530228840;3.0
1530229731;4.0
1530229812;3.0
1530230152;4.0
1530230900;5.0
1524513156;4.0
1528189523;3.0
1530195730;3.0
1530196540;5.0
1530196620;3.0
1530197350;3.0
1530197511;4.0
1530198160;5.0
1530198755;3.0
1530199050;5.0
1530199727;5.0
1530200245;3.0
1530201136;3.0
1530202965;3.0
1530203694;2.0
1530204313;3.0
1530205204;4.0
1530205638;2.0
1530206952;4.0
1530207509;4.0
1530208068;4.0
1530208491;3.0
1530209200;2.0
1530209382;3.0
1530209463;4.0
1530209897;2.0
1530210399;4.0
1530211603;3.0
1530213142;5.0
1530213223;2.0
1530214386;5.0
1530214629;2.0
1530215510;4.0
1530216320;3.0
1530216753;5.0
1530216915;4.0
1530217130;5.0
1530219000;4.0
1530220513;3.0
1530220866;3.0
1530221242;2.0
1530221323;3.0
1530221595;4.0
1530221757;4.0
1530222052;4.0
1530222486;3.0
1530222567;5.0
1530223881;3.0
1530224268;3.0
1530231809;3.0
1530233097;3.0
1530233330;5.0
1530234654;2.0
1530235545;5.0
1530236606;5.0
1530236940;4.0
1530238560;5.0
1530240468;2.0
1530241430;3.0
1530241863;5.0
1530276225;3.0
1530276306;2.0
1530278007;2.0
1530278350;5.0
1530279755;4.0
1530280508;3.0
1530282381;4.0
1530282705;4.0
1530282896;5.0
1530283000;2.0
1530243645;3.0
1530244455;4.0
1530244536;6.0
1530244617;3.0
1530245931;3.0
1530246407;4.0
1530246580;5.0
1530248523;3.0
1530249503;6.0
1530252717;5.0
1530253527;5.0
1530254256;6.0
1530255651;4.0
1530257271;2.0
1530259134;4.0
1530260060;4.0
1530261031;5.0
1530262356;5.0
1530262607;4.0
1530263085;5.0
1530263247;2.0
1530264308;3.0
1530264561;4.0
1530264804;4.0
1530268478;3.0
1530271185;4.0
1530272742;4.0
1530272904;5.0
1530273714;4.0
1530275091;3.0
1530275415;5.0
1530275687;5.0
1530284082;3.0
1530284678;4.0
1530284910;3.0
1530287855;3.0
1530288070;3.0
1530288231;4.0
1530288312;5.0
1530289394;4.0
1530289807;3.0
1530290805;3.0
1530291020;5.0
1530291615;2.0
1530291704;2.0
1530294630;3.0
1530295106;3.0
1530295955;3.0
1530296927;2.0
1530297060;5.0
1530299780;5.0
1530300037;5.0
1530300118;4.0
1530300541;2.0
1530301190;5.0
1530302757;3.0
1530303052;4.0
1530303800;4.0
1530303990;2.0
1530304458;5.0
1530304539;3.0
1530338352;5.0
1530339596;3.0
1530305772;2.0
1530306310;3.0
1530307805;2.0
1530308879;5.0
1530310008;2.0
1530311314;2.0
1530311586;3.0
1530312710;3.0
1530314925;3.0
1530317193;5.0
1530317517;3.0
1530318084;5.0
1530318599;3.0
1530318750;3.0
1530318831;2.0
1530319137;3.0
1530320658;3.0
1530320810;6.0
1530321468;5.0
1530321700;3.0
1530322006;2.0
1530322782;3.0
1530322944;3.0
1530324726;5.0
1530324998;3.0
1530325455;4.0
1530327660;4.0
1530328802;3.0
1530329442;2.0
1530331340;4.0
1530332400;4.0
1530332826;2.0
1530333636;5.0
1530340411;4.0
1530340764;4.0
1530341302;3.0
1530341493;3.0
1530342546;2.0
1530342899;5.0
1530343356;4.0
1530343437;4.0
1530343607;5.0
1530344085;4.0
1530344166;3.0
1530345561;4.0
1530345995;2.0
1530346100;6.0
1530346371;3.0
1530346452;5.0
1530347505;3.0
1530347777;4.0
1530348072;4.0
1530348153;4.0
1530348900;6.0
1530349125;3.0
1530349206;3.0
1530352266;7.0
1530352428;3.0
1530353319;2.0
1530353661;2.0
1530354390;2.0
1530355281;3.0
1530358035;3.0
1530358116;4.0
1530358388;2.0
1530358892;4.0
1530359198;3.0
1530359430;5.0
1530360013;3.0
1530360447;5.0
1530361257;3.0
1530362571;5.0
1530363977;4.0
1530365082;5.0
1530365163;1.0
1530365244;3.0
1530365597;3.0
1530366305;2.0
1530366569;4.0
1530366992;5.0
1530367379;5.0
1530368189;5.0
1530370086;4.0
1530404916;5.0
1530405564;7.0
1530408156;4.0
1530408237;3.0
1530370248;3.0
1530371562;2.0
1530371643;4.0
1530372704;4.0
1530372887;3.0
1530372968;4.0
1530373506;5.0
1530374073;5.0
1530374405;3.0
1530374669;3.0
1530375126;6.0
1530377501;5.0
1530378575;4.0
1530378656;4.0
1530379466;4.0
1530379628;5.0
1530380987;3.0
1530381010;2.0
1530383226;4.0
1530383900;4.0
1530384206;4.0
1530385512;3.0
1530386675;4.0
1530387213;3.0
1530387566;3.0
1530389186;4.0
1530389771;5.0
1530390435;3.0
1530390940;4.0
1530391407;5.0
1530392217;3.0
1530392489;5.0
1530392721;4.0
1530392802;5.0
1530393027;3.0
