ano;descricao_secao_cnae;quantidade_vinculos_ativos
2018;Informação e comunicação;7724
2018;Outras atividades de serviços;3069
2018;Saúde humana e serviços sociais;5002
2018;Serviços domésticos;1
2018;Transporte, armazenagem e correio;12332
2018;Água, esgoto, atividades de gestão de resíduos e descontaminação;1046
2019;Administração pública, defesa e seguridade social;16477
2019;Agricultura, pecuária, produção florestal, pesca e aquicultura;12
2019;Alojamento e alimentação;6737
2019;Artes, cultura, esporte e recreação;706
2019;Atividades administrativas e serviços complementares;14455
2019;Atividades financeiras, de seguros e serviços relacionados;14411
2019;Atividades imobiliárias;555
2019;Atividades profissionais, científicas e técnicas;7319
2019;"Comércio; reparação de veículos automotores e motocicletas";43413
2019;Construção;4851
2019;Educação;6149
2019;Eletricidade e gás;1
2019;Indústrias de transformação;14496
2019;Indústrias extrativas;143
2019;Informação e comunicação;6933
2019;Organismos internacionais e outras instituições extraterritoriais;0
2019;Outras atividades de serviços;2894
2019;Saúde humana e serviços sociais;4763
2019;Serviços domésticos;0
2019;Transporte, armazenagem e correio;13472
2019;Água, esgoto, atividades de gestão de resíduos e descontaminação;1061
2020;Administração pública, defesa e seguridade social;16318
2020;Agricultura, pecuária, produção florestal, pesca e aquicultura;9
2020;Alojamento e alimentação;5531
2020;Artes, cultura, esporte e recreação;605
2020;Atividades administrativas e serviços complementares;18587
2020;Atividades financeiras, de seguros e serviços relacionados;13342
2020;Atividades imobiliárias;545
2020;Atividades profissionais, científicas e técnicas;10072
2020;"Comércio; reparação de veículos automotores e motocicletas";42301
2020;Construção;5350
2020;Educação;5864
2020;Eletricidade e gás;0
2020;Indústrias de transformação;13988
2020;Indústrias extrativas;4
2020;Informação e comunicação;6518
2020;Outras atividades de serviços;2720
2020;Saúde humana e serviços sociais;4680
2020;Serviços domésticos;0
2020;Transporte, armazenagem e correio;13067
2020;Água, esgoto, atividades de gestão de resíduos e descontaminação;958
2021;Administração pública, defesa e seguridade social;16444
2021;Agricultura, pecuária, produção florestal, pesca e aquicultura;11
2021;Alojamento e alimentação;5612
2021;Artes, cultura, esporte e recreação;623
2021;Atividades administrativas e serviços complementares;23593
2021;Atividades financeiras, de seguros e serviços relacionados;13279
2021;Atividades imobiliárias;535
2021;Atividades profissionais, científicas e técnicas;14674
2021;"Comércio; reparação de veículos automotores e motocicletas";46176
2021;Construção;6500
