ano;cnae_2_descricao_secao;variable;media_idade
2021;Saúde Humana E Serviços Sociais;Admissões;32.60385196374622
2023;Atividades Profissionais, Científicas E Técnicas;Admissões;30.745653143111905
2021;Atividades Imobiliárias;Admissões;32.74193548387097
2021;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;28.928571428571427
2023;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;29.783249978808172
2020;Artes, Cultura, Esporte E Recreação;Demissões;31.495114006514658
2022;Atividades Profissionais, Científicas E Técnicas;Admissões;30.12928039702233
2024;Atividades Imobiliárias;Admissões;32.303030303030305
2010;Informação E Comunicação;Demissões;29.591879593979698
2024;Atividades Profissionais, Científicas E Técnicas;Demissões;32.62110960757781
2011;Atividades Profissionais, Científicas E Técnicas;Demissões;29.66618808327351
2021;Informação E Comunicação;Admissões;31.44046400545889
2021;Atividades Administrativas E Serviços Complementares;Demissões;32.06763833992095
2012;Construção;Admissões;32.41476613838423
2012;Informação E Comunicação;Admissões;28.160662525879918
2011;Outras Atividades De Serviços;Demissões;32.975494816211125
2014;Saúde Humana E Serviços Sociais;Admissões;30.549881796690308
2021;Outras Atividades De Serviços;Admissões;31.590711175616836
2021;Alojamento E Alimentação;Admissões;28.18692598595354
2021;Construção;Demissões;36.15296847805067
2021;Administração Pública, Defesa E Seguridade Social;Demissões;46.00709219858156
2024;Artes, Cultura, Esporte E Recreação;Demissões;31.37621359223301
2020;Outras Atividades De Serviços;Demissões;36.28
2012;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;33.36235294117647
2010;Outras Atividades De Serviços;Demissões;32.05614714424008
2011;Atividades Administrativas E Serviços Complementares;Demissões;30.035965598123536
2022;Construção;Admissões;35.327747035573125
2023;Atividades Administrativas E Serviços Complementares;Admissões;31.106792276437382
2022;Indústrias De Transformação;Demissões;34.198305821025194
2012;Artes, Cultura, Esporte E Recreação;Demissões;28.741830065359476
2010;Construção;Admissões;33.312154696132595
2022;Artes, Cultura, Esporte E Recreação;Admissões;31.733009708737864
2020;Artes, Cultura, Esporte E Recreação;Admissões;28.94422310756972
2010;Educação;Demissões;34.742712294043095
2023;Atividades Administrativas E Serviços Complementares;Demissões;31.56549879972044
2024;Atividades Imobiliárias;Demissões;32.339416058394164
2012;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;28.60480234022671
2011;Indústrias De Transformação;Demissões;31.72017673048601
2014;Atividades Imobiliárias;Demissões;33.26502732240437
2022;Atividades Imobiliárias;Demissões;34.669064748201436
2023;Indústrias De Transformação;Admissões;32.45282311011067
2020;Alojamento E Alimentação;Demissões;30.631997642899233
2021;Informação E Comunicação;Demissões;33.844617632732586
2023;Construção;Demissões;36.11274668392106
2021;Indústrias De Transformação;Demissões;35.101797805276675
2021;Artes, Cultura, Esporte E Recreação;Demissões;31.01498127340824
2011;Informação E Comunicação;Demissões;29.282675814751286
2023;Saúde Humana E Serviços Sociais;Demissões;30.723928157589803
2012;Saúde Humana E Serviços Sociais;Demissões;31.34611650485437
2021;Atividades Administrativas E Serviços Complementares;Admissões;31.077561077179343
2012;Outras Atividades De Serviços;Admissões;30.337719298245613
2024;Outras Atividades De Serviços;Admissões;33.430817610062896
2014;Saúde Humana E Serviços Sociais;Demissões;31.80521472392638
2014;Construção;Admissões;32.86966225264098
2022;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;34.976284584980235
2014;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;33.253369272237194
2022;Administração Pública, Defesa E Seguridade Social;Admissões;34.833333333333336
2014;Administração Pública, Defesa E Seguridade Social;Admissões;40.002957121734845
2024;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;36.12931034482759
2012;Outras Atividades De Serviços;Demissões;32.182214472537055
2024;Educação;Admissões;35.90509803921569
