cod_familiar_fam;vlr_renda_per_capita_fam
1475414099;140.0
1477075283;111.0
1477075607;759.0
1479387169;170.0
1479387592;509.0
1498404979;735.0
1500160776;409.0
1500178128;0.0
1500193194;2344.0
1502661977;1005.0
1503665585;0.0
1507188102;145.0
1510931058;200.0
1516490223;1344.0
1517448581;1101.0
1520074077;0.0
1523209119;461.0
1530227526;2428.0
1530228760;0.0
1530228840;490.0
1530229731;4.0
1530229812;1518.0
1530230152;2659.0
1530230900;75.0
1524513156;548.0
1528189523;514.0
1530195730;0.0
1530196540;334.0
1530196620;302.0
1530197350;150.0
1530197511;91.0
1530198160;166.0
1530198755;120.0
1530199050;1272.0
1530199727;4.0
1530200245;0.0
1530201136;827.0
1530202965;506.0
1530203694;740.0
1530204313;410.0
1530205204;0.0
1530205638;1053.0
1530206952;100.0
1530207509;645.0
1530208068;774.0
1530208491;506.0
1530209200;337.0
1530209382;100.0
1530209463;768.0
1530209897;0.0
1530210399;0.0
1530211603;34.0
1530213142;615.0
1530213223;95.0
1530214386;645.0
1530214629;325.0
1530215510;512.0
1530216320;842.0
1530216753;266.0
1530216915;1595.0
1530217130;0.0
1530219000;1518.0
1530220513;277.0
1530220866;0.0
1530221242;505.0
1530221323;1408.0
1530221595;137.0
1530221757;150.0
1530222052;150.0
1530222486;1132.0
1530222567;2160.0
1530223881;1067.0
1530224268;0.0
1530231809;690.0
1530233097;273.0
1530233330;173.0
1530234654;0.0
1530235545;440.0
1530236606;708.0
1530236940;435.0
1530238560;1389.0
1530240468;0.0
1530241430;1909.0
1530241863;686.0
1530276225;759.0
1530276306;133.0
1530278007;106.0
1530278350;353.0
1530279755;894.0
1530280508;0.0
1530282381;870.0
1530282705;0.0
1530282896;478.0
1530283000;854.0
1530243645;0.0
1530244455;6.0
1530244536;1012.0
1530244617;0.0
1530245931;0.0
1530246407;872.0
1530246580;1412.0
1530248523;440.0
1530249503;10.0
1530252717;267.0
1530253527;188.0
1530254256;454.0
1530255651;138.0
1530257271;712.0
1530259134;0.0
1530260060;36.0
1530261031;343.0
1530262356;1518.0
1530262607;470.0
1530263085;850.0
1530263247;1518.0
1530264308;526.0
1530264561;14.0
1530264804;1475.0
1530268478;337.0
1530271185;634.0
1530272742;514.0
1530272904;4.0
1530273714;0.0
1530275091;0.0
1530275415;87.0
1530275687;184.0
1530284082;166.0
1530284678;0.0
1530284910;302.0
1530287855;1657.0
1530288070;464.0
1530288231;0.0
1530288312;83.0
1530289394;379.0
1530289807;944.0
1530290805;419.0
1530291020;49.0
1530291615;0.0
1530291704;1241.0
1530294630;660.0
1530295106;377.0
1530295955;706.0
1530296927;20.0
1530297060;87.0
1530299780;0.0
1530300037;506.0
1530300118;0.0
1530300541;443.0
1530301190;33.0
1530302757;312.0
1530303052;0.0
1530303800;632.0
1530303990;0.0
1530304458;225.0
1530304539;1121.0
1530338352;120.0
1530339596;142.0
1530305772;25.0
1530306310;200.0
1530307805;21.0
1530308879;727.0
1530310008;211.0
1530311314;1343.0
1530311586;1019.0
1530312710;365.0
1530314925;1212.0
1530317193;0.0
1530317517;492.0
1530318084;885.0
1530318599;100.0
1530318750;303.0
1530318831;0.0
1530319137;656.0
1530320658;1832.0
1530320810;1212.0
1530321468;1518.0
1530321700;511.0
1530322006;406.0
1530322782;125.0
1530322944;766.0
1530324726;30.0
1530324998;0.0
1530325455;847.0
1530327660;1395.0
1530328802;0.0
1530329442;125.0
1530331340;150.0
1530332400;1210.0
1530332826;85.0
1530333636;506.0
1530340411;759.0
1530340764;10.0
1530341302;1671.0
1530341493;706.0
1530342546;217.0
1530342899;1350.0
1530343356;470.0
1530343437;281.0
1530343607;1260.0
1530344085;362.0
1530344166;185.0
1530345561;806.0
1530345995;692.0
1530346100;759.0
1530346371;1163.0
1530346452;1518.0
1530347505;83.0
1530347777;66.0
1530348072;2220.0
1530348153;261.0
1530348900;539.0
1530349125;25.0
1530349206;0.0
1530352266;125.0
1530352428;454.0
1530353319;839.0
1530353661;417.0
1530354390;871.0
1530355281;759.0
1530358035;131.0
1530358116;1518.0
1530358388;0.0
1530358892;906.0
1530359198;1288.0
1530359430;0.0
1530360013;962.0
1530360447;510.0
1530361257;75.0
1530362571;506.0
1530363977;620.0
1530365082;142.0
1530365163;175.0
1530365244;751.0
1530365597;142.0
1530366305;0.0
1530366569;522.0
